shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3,41.7413446,-111.8295073,382,
3_2,41.74235834,-111.8294653,383,
3,41.74235834,-111.8294653,383,
3_2,41.74301009,-111.829459,384,
3,41.74301009,-111.829459,384,
3_2,41.74406821,-111.82945,385,
3,41.74406821,-111.82945,385,
3_2,41.74493779,-111.8294304,386,
3,41.74493779,-111.8294304,386,
3_2,41.74623451,-111.8293908,387,
3,41.74623451,-111.8293908,387,
3_2,41.74747217,-111.8293519,388,
3,41.74747217,-111.8293519,388,
3_2,41.74884367,-111.8293052,389,
3,41.74884367,-111.8293052,389,
3_2,41.74999206,-111.8292841,390,
3,41.74999206,-111.8292841,390,
3_2,41.75235375,-111.8291837,391,
3,41.75235375,-111.8291837,391,
3_2,41.75304155,-111.8291562,392,
3,41.75304155,-111.8291562,392,
3_2,41.75431051,-111.829138,393,
3,41.75431051,-111.829138,393,
3_2,41.75448988,-111.8291228,394,
3,41.75448988,-111.8291228,394,
3_2,41.75526617,-111.8290977,395,
3,41.75526617,-111.8290977,395,
3_2,41.75634333,-111.8290567,396,
3,41.75634333,-111.8290567,396,
3_2,41.75730232,-111.8290103,397,
3,41.75730232,-111.8290103,397,
3_2,41.75732486,-111.8290027,398,
3,41.75732486,-111.8290027,398,
3_2,41.75733108,-111.8289947,399,
3,41.75733108,-111.8289947,399,
3_2,41.7573393,-111.8289895,400,
3,41.7573393,-111.8289895,400,
3_2,41.7573435,-111.8289787,401,
3,41.7573435,-111.8289787,401,
3_2,41.75734564,-111.8289706,402,
3,41.75734564,-111.8289706,402,
3_2,41.7573478,-111.8289598,403,
3,41.7573478,-111.8289598,403,
3_2,41.75734792,-111.8289489,404,
3,41.75734792,-111.8289489,404,
3_2,41.75735212,-111.8289381,405,
3,41.75735212,-111.8289381,405,
3_2,41.75735227,-111.8289245,406,
3,41.75735227,-111.8289245,406,
3_2,41.75735443,-111.8289137,407,
3,41.75735443,-111.8289137,407,
3_2,41.75735659,-111.8289029,408,
3,41.75735659,-111.8289029,408,
3_2,41.75735875,-111.8288921,409,
3,41.75735875,-111.8288921,409,
3_2,41.75735887,-111.8288812,410,
3,41.75735887,-111.8288812,410,
3_2,41.75735902,-111.8288676,411,
3,41.75735902,-111.8288676,411,
3_2,41.75735911,-111.8288595,412,
3,41.75735911,-111.8288595,412,
3_2,41.75737583,-111.8264039,413,
3,41.75737583,-111.8264039,413,
3_2,41.75739336,-111.8247171,414,
