link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000026,1500026,1500028,bus,1,10.2,1,service_links,1417.2873263785084,3,999999,42.49737110580235,0,2.0,2999997,0.15,4,0,"LINESTRING (-111.854879 41.728091, -111.859293 41.740404)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,7,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000027,1500028,1500029,bus,1,10.2,1,service_links,511.7096923882587,3,999999,30.671909633661862,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.859293 41.740404, -111.859008 41.745001)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,8,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000028,1500029,1500030,bus,1,10.2,1,service_links,779.9561769676385,3,999999,46.75061999806026,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.859008 41.745001, -111.858826 41.752014)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,9,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000029,1500030,1500031,bus,1,10.2,1,service_links,511.4872434704001,3,999999,30689.234608224004,0,0.0,2999997,0.15,4,0,"LINESTRING (-111.858826 41.752014, -111.858703 41.756613)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,10,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000030,1500031,1500032,bus,1,10.2,1,service_links,522.3734096291874,3,999999,31.311093484266983,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.858703 41.756613, -111.852592 41.757748)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,11,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000031,1500032,1500033,bus,1,10.2,1,service_links,299.5755365933972,3,999999,17.956575619983848,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.852592 41.757748, -111.84981 41.75603)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,12,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000032,1500033,1500034,bus,1,10.2,1,service_links,809.1304533611562,3,999999,24.261782709479945,0,2.0,2999997,0.15,4,0,"LINESTRING (-111.84981 41.75603, -111.849392 41.74876)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,13,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000033,1500034,1500035,bus,1,10.2,1,service_links,549.3049674876106,3,999999,16.470913567844395,0,2.0,2999997,0.15,4,0,"LINESTRING (-111.849392 41.74876, -111.84941 41.74382)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,14,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000034,1500035,1500036,bus,1,10.2,1,service_links,513.5281779294608,3,999999,30.78090976600165,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.84941 41.74382, -111.84886 41.73922)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,15,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000035,1500036,1500037,bus,1,10.2,1,service_links,263.90875646608737,3,999999,15.81870668128396,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.84886 41.73922, -111.84568 41.73917)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,16,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
