stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7569088,811,"1301 North 600 West","BTECH Main Campus",41.756229,-111.849133,,,0,,,0,,
7569089,812,"941 North 600 West ","RR Donnelly/Schreibers",41.748778,-111.849356,,,0,,,0,,
7569090,813,"675 North 600 West ","",41.743798,-111.849365,,,0,,,0,,
7569091,814,"542 West 400 North","",41.739266,-111.848864,,,0,,,0,,
7569092,815,"428 West 400 North","",41.739197,-111.845688,,,0,,,0,,
7569093,816,"272 West 400 North","Canal Bridge",41.73914,-111.841853,,,0,,,0,,
7569109,109,"1295 North 1600 East","",41.75493,-111.794635,,,0,,,0,,
7569110,110,"1225 North 1600 East","",41.753187,-111.794614,,,0,,,0,,
7569111,111,"1075 North 1600 East","",41.750636,-111.794584,,,0,,,0,,
7569112,112,"989 North 1500 East","Hillcrest Elementary",41.748988,-111.79682,,,0,,,0,,
7569113,113,"1500 East Maple Drive","",41.74539,-111.796855,,,0,,,0,,
7569114,1642,"1250 East 700 North","Across from Aggie Ice Cream",41.744277,-111.803278,,,0,,,0,,
7569115,115,"1071 East 700 North","Richard's Hall",41.744435,-111.807223,,,0,,,0,,
7569116,116,"903 East 700 North","Education Building",41.744495,-111.810989,,,0,,,0,,
7569117,117,"489 East 500 North","Adams Park",41.740788,-111.822173,,,0,,,0,,
7569118,118,"285 East 500 North","",41.740876,-111.827304,,,0,,,0,,
7569907,707,"115 W Golf Course Rd","Human Services",41.715867,-111.838954,,,0,,,0,,
7569908,708,"290 West Golf Course Rd","Trailhead",41.715685,-111.842268,,,0,,,0,,
7569909,711,"679 South 300 West","",41.719546,-111.842431,,,0,,,0,,
7569911,713,"206 South 100 West","Rec Center",41.727665,-111.837633,,,0,,,0,,
7569912,714,"50 South 100 West","Ellen Eccles Theater / Across from Dansante",41.730643,-111.837561,,,0,,,0,,
7569913,715,"32 North 100 West","",41.732012,-111.837512,,,0,,,0,,
7569914,716,"50 West 200 North","Workforce Services / Visitor Bureau",41.735177,-111.836232,,,0,,,0,,
7569917,702,"51 West 200 North","Post Office",41.735278,-111.83638,,,0,,,0,,
7569919,703,"45 North 100 West","Logan School District Offices",41.731856,-111.837646,,,0,,,0,,
7569920,704,"280 South 100 West","Rec Center Tennis Courts",41.726679,-111.837854,,,0,,,0,,
7569921,2013,"755 South Main","",41.717408,-111.835628,,,0,,,0,,
7569923,1506,"1450 North 1200 East","Foothill Market",41.757834,-111.804228,,,0,,,0,,
7569924,1507,"1680 North 1200 East, N Logan","",41.76171,-111.804346,,,0,,,0,,
7569925,1508,"2046 N 1200 E, N Logan","North Logan City Offices",41.768325,-111.8045,,,0,,,0,,
7569926,1509,"1121 East 2100 North, N Logan","LDS Church",41.769358,-111.806386,,,0,,,0,,
7569927,1510,"2230 North 800 East, N Logan","",41.772527,-111.813409,,,0,,,0,,
7569928,1511,"2480 North 800 East, N Logan","",41.777373,-111.813266,,,0,,,0,,
7569929,1512,"2740 North 800 East, N Logan","LDS Church",41.781887,-111.813142,,,0,,,0,,
7569930,1513,"670 South 250 East, Hyde Park","Hyde Park City Sign",41.786146,-111.813034,,,0,,,0,,
7569931,1514,"220 South 250 East, Hyde Park","",41.794573,-111.812793,,,0,,,0,,
7569932,1515,"104 South 100 East, Hyde Park","",41.796903,-111.816799,,,0,,,0,,
7569933,1516,"67 E Hyde Park Lane, Hyde Park","LDS Church (Across from HP City Hall)",41.799098,-111.817812,,,0,,,0,,
7569934,1517,"185 West Hyde Park Lane, Hyde Park","",41.799185,-111.823735,,,0,,,0,,
7569935,1518,"655 West Hyde Park Lane, Hyde Park","Maverik",41.799314,-111.832247,,,0,,,0,,
7569936,1519,"4088 North Main, Hyde Park","IHC North Clinic",41.80603,-111.833255,,,0,,,0,,
7569937,1520,"850 S Main, Smithfield","Lee's Marketplace",41.819598,-111.832966,,,0,,,0,,
7569938,1521,"50 East 600 South, Smithfield","Across from Firehouse Pizza",41.823925,-111.831575,,,0,,,0,,
7569939,1522,"170 East 600 South, Smithfield","",41.823937,-111.827947,,,0,,,0,,
