trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
12_1500_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1500_O,5738,1,Hyrum,"",0,426867,21105,
12_1600_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1600_O,5738,1,Hyrum,"",0,426867,21105,
12_1700_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1700_O,5738,1,Hyrum,"",0,426867,21105,
12_1800_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1800_O,5738,1,Hyrum,"",0,426867,21105,
12_1900_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1900_O,5738,1,Hyrum,"",0,426867,21105,
12S_1000_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1000_O,5738,2,Hyrum,"",0,426880,21105,
12S_1100_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1100_O,5738,2,Hyrum,"",0,426880,21105,
12S_1200_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1200_O,5738,2,Hyrum,"",0,426880,21105,
12S_1300_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1300_O,5738,2,Hyrum,"",0,426880,21105,
12S_1400_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1400_O,5738,2,Hyrum,"",0,426880,21105,
12S_1500_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1500_O,5738,2,Hyrum,"",0,426880,21105,
12S_1600_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1600_O,5738,2,Hyrum,"",0,426880,21105,
12S_1700_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1700_O,5738,2,Hyrum,"",0,426880,21105,
12S_1800_I,5738,2,"Hyrum, Transit Center","",1,426880,20937,
12S_1800_O,5738,2,Hyrum,"",0,426880,21105,
15_0500_I,5735,1,Southbound,"",1,426865,25571,
15_0500_O,5735,1,Northbound,"",0,426865,25572,
15_0545_I,5735,1,Southbound,"",1,426866,25571,
15_0545_O,5735,1,Northbound,"",0,426866,25572,
15_0630_I,5735,1,Southbound,"",1,426865,25571,
15_0630_O,5735,1,Northbound,"",0,426865,25572,
15_0715_I,5735,1,Southbound,"",1,426866,25571,
15_0715_O,5735,1,Northbound,"",0,426866,25572,
15_0800_I,5735,1,Southbound,"",1,426865,25571,
15_0800_O,5735,1,Northbound,"",0,426865,25572,
